#LINK
#lang	ja
#attribution_url	https://www.city.iwata.shizuoka.jp/
#attribution_name	静岡県磐田市
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	iwata_bunkazai
#download_from	http://linkdata.org/work/rdf1s10219i
#property	全国地方公共団体コード	ID	地方公共団体名	名称	名称_カナ	名称_通称	名称_英語	文化財分類	種類	場所名称	所在地_全国地方公共団体コード	町字ID	所在地_連結表記	所在地_都道府県	所在地_市区町村	所在地_町字	所在地_番地以下	建物名等(方書)	緯度	経度	高度の種別	高度の値	電話番号	内線番号	連絡先メールアドレス	連絡先FormURL	連絡先備考（その他、SNSなど）	郵便番号	員数（数）	員数（単位）	法人番号	所有者等	文化財指定日	利用可能曜日	開始時間	終了時間	利用可能日時特記事項	画像	画像_ライセンス	概要	概要_英語	説明	説明_英語	URL	備考
#object_type_xsd	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	int	string	string	string	date	string	time	time	string	string	string	string	string	string	string	string	string
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
1	222119	BB00000001	静岡県磐田市	遠江国分寺跡	トオトウミコクブンジアト																																								
2	222119	BB00000002	静岡県磐田市	銚子塚古墳附小銚子塚古墳	チョウシヅカコフンツケタリコチョウシヅカコフン																																								
3	222119	BB00000003	静岡県磐田市	旧見付学校附磐田文庫	キュウミツケガッコウツケタリイワタブンコ																																								
4	222119	BB00000004	静岡県磐田市	新豊院山古墳群	シンポウインヤマコフングン																																								
5	222119	BB00000005	静岡県磐田市	御厨古墳群	ミクリヤコフングン																																								
6	222119	BB00000006	静岡県磐田市	熊野の長フジ	ユヤノナガフジ																																								
7	222119	BB00000007	静岡県磐田市	見付天神裸祭	ミツケテンジンハダカマツリ																																								
8	222119	BB00000008	静岡県磐田市	静岡県明ヶ島古墳群出土土製品 附 土製品残欠	シズオカケンミョウガジマコフングンシュツドドセイヒンツケタリドセイヒンザンケツ																																								
9	222119	BB00000009	静岡県磐田市	静岡県立磐田農業高等学校記念館	シズオカケンリツイワタノウギョウコウトウガッコウキネンカン																																								
10	222119	BB00000010	静岡県磐田市	大箸家住宅主屋	オオハシケジュウタクオモヤ																																								
11	222119	BB00000011	静岡県磐田市	大箸家住宅北土蔵	オオハシケジュウタクキタドゾウ																																								
12	222119	BB00000012	静岡県磐田市	大箸家住宅南土蔵	オオハシケジュウタクミナミドゾウ																																								
13	222119	BB00000013	静岡県磐田市	大箸家住宅納屋	オオハシケジュウタクナヤ																																								
14	222119	BB00000014	静岡県磐田市	大箸家住宅井戸小屋	オオハシケジュウタクイドゴヤ																																								
15	222119	BB00000015	静岡県磐田市	大箸家住宅外塀	オオハシケジュウタクソトベイ																																								
16	222119	BB00000016	静岡県磐田市	大箸家住宅内塀	オオハシケジュウタクウチベイ																																								
17	222119	BB00000017	静岡県磐田市	天竜浜名湖鉄道神田隧道	テンリュウハマナコテツドウカンダズイドウ																																								
18	222119	BB00000018	静岡県磐田市	旧掛塚郵便局（長谷川家住宅）局舎	キュウカケツカユウビンキョク（ハセガワケジュウタク）キョクシャ																																								
19	222119	BB00000019	静岡県磐田市	旧掛塚郵便局（長谷川家住宅）蔵	キュウカケツカユウビンキョク（ハセガワケジュウタク）クラ																																								
20	222119	BB00000020	静岡県磐田市	靏谷家住宅主屋	ツルタニケジュウタクオモヤ																																								
21	222119	BB00000021	静岡県磐田市	寺田家住宅主屋（旧丸四織物合名会社事務所兼主屋）	テラダケジュウタクシュオクキュウマルシオリモノゴウメイガイシャジムショケンシュオク																																								
22	222119	BB00000022	静岡県磐田市	旧丸四織物合名会社倉庫（ドルチェ倉庫）	キュウマルシオリモノゴウメイガイシャソウコ（ドルチェソウコ）																																								
23	222119	BB00000023	静岡県磐田市	玄妙寺経蔵	ゲンミョウジキョウゾウ																																								
24	222119	BB00000024	静岡県磐田市	玄妙寺門柱及び塀	ゲンミョウジモンチュウオヨビヘイ																																								
25	222119	BB00000025	静岡県磐田市	穂積家住宅長屋門	ホヅミケジュウタクナガヤモン																																								
26	222119	BB00000026	静岡県磐田市	旧津倉家住宅主屋	キュウツクラケジュウタクオモヤ																																								
27	222119	BB00000027	静岡県磐田市	旧津倉家住宅応接棟	キュウツクラケジュウタクオウセツトウ																																								
28	222119	BB00000028	静岡県磐田市	旧津倉家住宅土蔵	キュウツクラケジュウタクドゾウ																																								
29	222119	BB00000029	静岡県磐田市	府八幡宮楼門	フハチマングウロウモン																																								
30	222119	BB00000030	静岡県磐田市	旧赤松家門・塀	キュウアカマツケモン・ヘイ																																								
31	222119	BB00000031	静岡県磐田市	木造地蔵菩薩坐像	モクゾウジゾウボサツザゾウ																																								
32	222119	BB00000032	静岡県磐田市	木造毘沙門天立像	モクゾウビシャモンテンリツゾウ																																								
33	222119	BB00000033	静岡県磐田市	三角縁四神四獣鏡	サンカクブチシシンシジュウキョウ																																								
34	222119	BB00000034	静岡県磐田市	堂山古墳出土遺物	ドウヤマコフンシュツドイブツ																																								
35	222119	BB00000035	静岡県磐田市	太刀　銘成高	タチメイナリタカ																																								
36	222119	BB00000036	静岡県磐田市	淡海国玉神社本殿　附棟札５枚	オウミクニタマジンジャホンデンツケタリムナフダ５マイ																																								
37	222119	BB00000037	静岡県磐田市	鰐口	ワニグチ																																								
38	222119	BB00000038	静岡県磐田市	絹本著色釈迦十六善神画像	ケンポンチャクショクシャカジュウロクゼンシンガゾウ																																								
39	222119	BB00000039	静岡県磐田市	米塚古墳群	ヨネヅカコフングン																																								
40	222119	BB00000040	静岡県磐田市	長者屋敷遺跡	チョウジャヤシキイセキ																																								
41	222119	BB00000041	静岡県磐田市	土器塚古墳	カワラケヅカコフン																																								
42	222119	BB00000042	静岡県磐田市	善導寺の大クス	ゼンドウジノオオクス																																								
43	222119	BB00000043	静岡県磐田市	甲塚のクロガネモチ	カブトヅカノクロガネモチ																																								
44	222119	BB00000044	静岡県磐田市	熊野の長フジ	ユヤノナガフジ																																								
45	222119	BB00000045	静岡県磐田市	熊野絵巻	ユヤエマキ																																								
46	222119	BB00000046	静岡県磐田市	掛塚祭屋台囃子	カケツカマツリヤタイバヤシ																																								
47	222119	BB00000047	静岡県磐田市	旧中泉御殿裏門	キュウナカイズミゴテンウラモン								静岡県磐田市中泉254-1																																
48	222119	BB00000048	静岡県磐田市	旧見付宿脇本陣大三河屋門	キュウミツケシュクワキホンジンオオミカワヤモン								静岡県磐田市見付2593番１他																																
49	222119	BB00000049	静岡県磐田市	旧中泉代官所門	キュウナカイズミダイカンショモン								静岡県磐田市個人蔵																																
50	222119	BB00000050	静岡県磐田市	西光寺表門	サイコウジオモテモン								静岡県磐田市見付3353‐1																																
51	222119	BB00000051	静岡県磐田市	旧赤松家塀・土蔵	キュウアカマツケヘイ・ドゾウ								静岡県磐田市見付3884‐1																																
52	222119	BB00000052	静岡県磐田市	府八幡宮中門	フハチマングウナカモン								静岡県磐田市中泉112-1																																
53	222119	BB00000053	静岡県磐田市	府八幡宮本殿及び拝殿付幣殿	フハチマングウホンデンオヨビハイデンツキヘイデン								静岡県磐田市中泉112-1																																
54	222119	BB00000054	静岡県磐田市	僧形八幡神像	ソウギョウハチマンシンゾウ								静岡県磐田市中泉112-1																																
55	222119	BB00000055	静岡県磐田市	女神像	ニョシンゾウ								静岡県磐田市中泉112-1																																
56	222119	BB00000056	静岡県磐田市	聖観音菩薩立像	ショウカンノンボサツリツゾウ								静岡県磐田市城之崎4-2722-1																																
57	222119	BB00000057	静岡県磐田市	薬師如来坐像	ヤクシニョライザゾウ								静岡県磐田市見付3353-1																																
58	222119	BB00000058	静岡県磐田市	不動三尊立像	フドウサンゾンリツゾウ								静岡県磐田市見付2896																																
59	222119	BB00000059	静岡県磐田市	薬師如来立像	ヤクシニョライリツゾウ								静岡県磐田市上大之郷524-1																																
60	222119	BB00000060	静岡県磐田市	子育如来像・子育地蔵菩薩像	コソダテニョライゾウ・コソダテジゾウボサツゾウ								静岡県磐田市見付1340-1																																
61	222119	BB00000061	静岡県磐田市	木造閻魔大王坐像	モクゾウエンマダイオウザゾウ								静岡県磐田市二之宮1262																																
62	222119	BB00000062	静岡県磐田市	木造千手観音菩薩立像	モクゾウセンジュカンノンボサツリツゾウ								静岡県磐田市前野1759-1  (定光寺飛地境内 蓮華寺)																																
63	222119	BB00000063	静岡県磐田市	紙本墨画淡彩山水十二月之図	シホンボクガタンサイサンスイジュウニツキノズ								静岡県磐田市個人蔵																																
64	222119	BB00000064	静岡県磐田市	紙本金地著色野外遊楽図	シホンキンジチャクショクヤガイユウラクズ								静岡県磐田市見付3678-1																																
65	222119	BB00000065	静岡県磐田市	紙本金地著色源氏物語図	シホンキンジチャクショクゲンジモノガタリズ								静岡県磐田市見付3678-1																																
66	222119	BB00000066	静岡県磐田市	紙本金地著色三十六歌仙図	シホンキンジチャクショクサンジュウロクカセンズ								静岡県磐田市鎌田2065-1																																
67	222119	BB00000067	静岡県磐田市	伊藤虎三郎氏奉納書画一式	イトウトラサブロウシホウノウショガイッシキ								静岡県磐田市見付1114-2																																
68	222119	BB00000068	静岡県磐田市	北野天神縁起絵巻	キタノテンジンエンギエマキ								静岡県磐田市見付1114-2																																
69	222119	BB00000069	静岡県磐田市	瑞花鳳鸞八稜鏡	ズイカホウランハチリョウキョウ								静岡県磐田市中泉112-1																																
70	222119	BB00000070	静岡県磐田市	持蓮華	ジレンゲ								静岡県磐田市見付3353-1																																
71	222119	BB00000071	静岡県磐田市	雲板	ウンバン								静岡県磐田市見付2431-1																																
72	222119	BB00000072	静岡県磐田市	刺繍十六羅漢図	シシュウジュウロクラカンズ								静岡県磐田市見付2896																																
73	222119	BB00000073	静岡県磐田市	梵鐘	ボンショウ								静岡県磐田市見付1340-1																																
74	222119	BB00000074	静岡県磐田市	五鈷鈴	ゴコレイ								静岡県磐田市見付2896																																
75	222119	BB00000075	静岡県磐田市	見付町青年団旗	ミツケチョウセイネンダンキ								静岡県磐田市見付3678-1																																
76	222119	BB00000076	静岡県磐田市	槍 銘包直	ヤリメイカネナオ								静岡県磐田市見付3884-1																																
77	222119	BB00000077	静岡県磐田市	桐唐草紋食籠	キリカラクサモンジキロウ								静岡県磐田市見付3884-1																																
78	222119	BB00000078	静岡県磐田市	吉野山蒔絵文庫・硯箱・色紙箱・短冊箱	ヨシノヤママキエブンコ・スズリバコ・シキシバコ・タンザクバコ								静岡県磐田市見付3884-1																																
79	222119	BB00000079	静岡県磐田市	大幟原本	オオノボリゲンポン								静岡県磐田市見付3678-1																																
80	222119	BB00000080	静岡県磐田市	伝一遍上人六字名号	デンイッペンショウニンロクジミョウゴウ								静岡県磐田市見付3353-1																																
81	222119	BB00000081	静岡県磐田市	巖谷一六揮毫幟原本	イワヤイチロクキゴウノボリゲンポン								静岡県磐田市見付3678-1																																
82	222119	BB00000082	静岡県磐田市	大般若経	ダイハンニャキョウ								静岡県磐田市鎌田2065-1																																
83	222119	BB00000083	静岡県磐田市	中林梧竹筆「不老斎」	ナカバヤシゴチク竹ヒツ「フロウサイ」								静岡県磐田市見付3678-1																																
84	222119	BB00000084	静岡県磐田市	新勅撰和歌集	シンチョクセンワカシュウ								静岡県磐田市見付3353-1																																
85	222119	BB00000085	静岡県磐田市	種痘の版木	シュトウノハンギ								静岡県磐田市個人蔵																																
86	222119	BB00000086	静岡県磐田市	伝酒井の太鼓	デンサカイノタイコ								静岡県磐田市見付2452																																
87	222119	BB00000087	静岡県磐田市	和算額	ワサンガク								静岡県磐田市見付1340-1																																
88	222119	BB00000088	静岡県磐田市	和算額	ワサンガク								静岡県磐田市鎌田2065-1																																
89	222119	BB00000089	静岡県磐田市	中教院扁額	チュウキョウインヘンガク								静岡県磐田市鎌田2065-1																																
90	222119	BB00000090	静岡県磐田市	前島密書 軍兵衛稲荷大幟	マエジマヒソカショグンベイイナリオオノボリ								静岡県磐田市見付3678-1																																
91	222119	BB00000091	静岡県磐田市	若者定	ワカモノサダメ								静岡県磐田市見付3678-1																																
92	222119	BB00000092	静岡県磐田市	医王寺文書	イオウジモンジョ								静岡県磐田市鎌田2065-1																																
93	222119	BB00000093	静岡県磐田市	二子塚古墳出土馬具（馬鐸・杏葉・環鈴）	フタゴヅカコフンシュツドバグ（バタクギョウヨウカンレイ）								静岡県磐田市見付3678-1																																
94	222119	BB00000094	静岡県磐田市	伝広野出土獣帯鏡	デンヒロノシュツドジュウタイキョウ								静岡県磐田市見付3678-1																																
95	222119	BB00000095	静岡県磐田市	伝広野出土変形方格規矩鏡	デンヒロノシュツドヘンケイホウカクキクキョウ								静岡県磐田市見付3678-1																																
96	222119	BB00000096	静岡県磐田市	庚申塚古墳出土遺物	コウシンヅカコフンシュツドイブツ								静岡県磐田市見付3678-1																																
97	222119	BB00000097	静岡県磐田市	阿多古山一里塚	アタゴサンイチリヅカ								静岡県磐田市見付577他																																
98	222119	BB00000098	静岡県磐田市	澄水山古墳	チョウスイザンコフン								静岡県磐田市中泉168																																
99	222119	BB00000099	静岡県磐田市	見付宿本陣神谷家墓所・見付宿本陣鈴木家墓所	ミツケシュクホンジンカミヤケボショ・ミツケシュクホンジンスズキケボショ								静岡県磐田市見付3353-1																																
100	222119	BB00000100	静岡県磐田市	医王寺庭園及び参道	イオウジテイエンオヨビサンドウ								静岡県磐田市鎌田2065-1																																
101	222119	BB00000101	静岡県磐田市	須賀神社クス	スガジンジャクス								静岡県磐田市西島444																																
102	222119	BB00000102	静岡県磐田市	アキザキヤツシロラン群生地	アキザキヤツシロラングンセイチ								静岡県磐田市城之崎4-2722-1																																
103	222119	BB00000103	静岡県磐田市	西光寺大クスとナギの木	サイコウジオオクストナギノキ								静岡県磐田市見付3353-1																																
104	222119	BB00000104	静岡県磐田市	袴田家のマキ	ハカマタケノマキ								静岡県磐田市個人蔵																																
105	222119	BB00000105	静岡県磐田市	天御子神社のヤマモモの木	アマミコジンジャノヤマモモノキ								静岡県磐田市見付2990-1																																
106	222119	BB00000106	静岡県磐田市	福王寺のケヤキ	フクオウジノケヤキ								静岡県磐田市城之崎4-2722-1																																
107	222119	BB00000107	静岡県磐田市	西光寺のイヌマキ	サイコウジノイヌマキ								静岡県磐田市見付3353-1																																
108	222119	BB00000108	静岡県磐田市	秋鹿朝重奉納絵馬  　　　　	アイカトモシゲホウノウエマ								静岡県磐田市中泉112-1																																
109	222119	BB00000109	静岡県磐田市	内田重貞奉納絵馬  　板絵著色董永図  　 板絵著色虞舜図　	ウチダシゲサダホウノウエマ  イタエチャクショクトウエイズ  イタエチャクショクグシュンズ								静岡県磐田市中泉112-1																																
110	222119	BB00000110	静岡県磐田市	省光寺のイチョウ	ショウコウジノイチョウ								静岡県磐田市見付２４２３																																
111	222119	BB00000111	静岡県磐田市	木造随身像	モクゾウズイジンゾウ								静岡県磐田市中泉１１３－１																																
112	222119	BB00000112	静岡県磐田市	淡海国玉神社幣殿・拝殿	オウミクニタマジンジャヘイデン・ハイデン								静岡県磐田市見付2452																																
113	222119	BB00000113	静岡県磐田市	遠江秋鹿家関係資料	トオトウミアイカケカンケイシリョウ								静岡県磐田市個人蔵																																
114	222119	BB00000114	静岡県磐田市	八王子神社米とぎまつり	ハチオウジジンジャコメトギマツリ								静岡県磐田市下太1-1(八王子神社)																																
115	222119	BB00000115	静岡県磐田市	中野白山神社十日祭（お箱）	ナカノハクサンジンジャトオカサイ（オハコ）								静岡県磐田市豊浜中野743-1(白山神社)																																
116	222119	BB00000116	静岡県磐田市	中野白山神社例祭(白酒)	ナカノハクサンジンジャレイサイ(シロザケ)								静岡県磐田市豊浜中野743-1(白山神社)																																
117	222119	BB00000117	静岡県磐田市	氏神様の年始回り	ウジガミサマノネンシマワリ								静岡県磐田市豊浜3103(三嶋神社[小嶋方]）																																
118	222119	BB00000118	静岡県磐田市	鰹釣船絵馬	カツオツリブネエマ								静岡県磐田市福田2100-1																																
119	222119	BB00000119	静岡県磐田市	豊浜小学校校務日誌	トヨハマショウガッコウコウムニッシ								静岡県磐田市豊浜９(豊浜小学校)																																
120	222119	BB00000120	静岡県磐田市	伊豆入江長八作次郎長漆喰画像	イズイリエチョウハチサクジロチョウシックイガゾウ								静岡県磐田市塩新田1084-3																																
121	222119	BB00000121	静岡県磐田市	神明宮棟札	シンメイグウムナフダ								静岡県磐田市福田中島1198(神明宮[新田]）																																
122	222119	BB00000122	静岡県磐田市	三番組秋葉山常夜灯	サンバングミアキハサンジョウヤトウ								静岡県磐田市福田1820																																
123	222119	BB00000123	静岡県磐田市	浅間神社本殿	センゲンジンジャホンデン								静岡県磐田市大原3318																																
124	222119	BB00000124	静岡県磐田市	浅間神社のヤマモモ	センゲンジンジャノヤマモモ								静岡県磐田市大原3318																																
125	222119	BB00000125	静岡県磐田市	一色のイヌマキ	イッシキノイヌマキ								静岡県磐田市一色100																																
